Nome,Latitude,Longitude,Camada,Dias,Notas
Reykjavik Eco Campsite,64.146154,-21.876019,Parking,Dias 1 e 13,Camping A - chegada e ultima noite
Thingvellir Campsite (Leirar),64.2800388,-21.0857413,Parking,Dia 2,Camping A
Landmannalaugar Camping,63.9906437,-19.0606999,Parking,Dias 3-4,Camping A - parking pago via parka.is (ver nota abaixo)
Landmannalaugar Parking - nota,63.9906437,-19.0606999,Parking Alerta,Dias 3-4,Reserva via parka.is - fallback: chegar apos 16h dispensa reserva
Skogar Campsite,63.5279528,-19.5126793,Parking,Dia 5,Camping A
Skaftafell Campground,64.0155263,-16.9716248,Parking,Dias 6-7,Camping A - base para o glaciar
Camping Hofn,64.258321,-15.2030289,Parking,Dia 8,Camping A
Seydisfjordur Campsite,65.2604585,-14.0111549,Parking,Dia 9,Camping A
Camping Myvatn (Reykjahlid),65.6407893,-16.9133381,Parking,Dia 10,Camping A
Camping Hamrar (Akureyri),65.6483814,-18.1032814,Parking,Dia 11,Camping A - Forest Lagoon a noite
Arnarstapi Campsite,64.7669302,-23.6349912,Parking,Dia 12,Camping A
