Nome,Latitude,Longitude,Camada,Dia,Notas
Thrihnukagigur Volcano,63.998462,-21.6989636,Passeio Ancora,Dia 2,CONFIRMADO 10:30 - booking IVO-T140578482
Kerid Crater,64.0412785,-20.8851466,Passeio,Dia 3,Golden Circle
Strokkur / Geysir,64.3127094,-20.300721,Passeio,Dia 3,Golden Circle
Gullfoss,64.3270716,-20.1199478,Passeio,Dia 3,Golden Circle
Secret Lagoon Fludir,64.1373976,-20.3096984,Passeio Banho Termal,Dia 3,Pago - reserva recomendada
Blahnukur,63.9772222,-19.0686111,Passeio,Dia 4,Trilha panoramica em Landmannalaugar
Seljalandsfoss,63.6156232,-19.9885688,Passeio,Dia 5,Costa Sul
Skogafoss,63.5320523,-19.5113706,Passeio,Dia 5,Costa Sul
Seljavallalaug,63.5659791,-19.6091423,Passeio Banho Termal,Dia 5,Gratis - piscina historica 1923
Reynisfjara,63.4142559,-19.0104132,Passeio Alerta,Dia 6,ATENCAO - checar safetravel.is no dia
Vik i Myrdal,63.4176505,-18.9974395,Passeio,Dia 6,Vilarejo
Fjadrargljufur,63.771279,-18.1718159,Passeio,Dia 6,Canyon
Falljokull Glacier,64.0268002,-16.9171872,Passeio Ancora,Dia 7,CONFIRMADO 11:00 - ticket ARC-T140762148
Jokulsarlon,64.0784458,-16.2305536,Passeio,Dia 8,Lagoa glacial
Diamond Beach,64.044334,-16.1776622,Passeio,Dia 8,Praia de gelo
Djupivogur,64.6567526,-14.2848307,Passeio,Dia 9,Vilarejo colorido
Vok Baths,65.3030639,-14.4469872,Passeio Banho Termal,Dia 9,Reserva em aberto
Seydisfjordur,65.2602307,-14.0095466,Passeio,Dia 9,Vilarejo
Dettifoss,65.8146662,-16.384576,Passeio,Dia 10,Estrada 864
Hverir,65.6409144,-16.8093111,Passeio,Dia 10,Area geotermica
Krafla,65.7171196,-16.7544199,Passeio,Dia 10,Cratera Viti
Dimmuborgir,65.5912203,-16.91228,Passeio,Dia 10,Campo de lava
Myvatn Nature Baths,65.6308946,-16.8476117,Passeio Banho Termal,Dia 10,Reserva em aberto
Husavik Whale Watching,66.0453,-17.3389,Passeio,Dia 11,Reserva em aberto - partida matinal recomendada
Godafoss,65.6827782,-17.5501919,Passeio,Dia 11,No caminho para Akureyri via Route 85
Forest Lagoon,65.6398,-18.128,Passeio Banho Termal,Dia 11,Reserva em aberto - slot noturno recomendado
Kirkjufell,64.9416667,-23.3069444,Passeio,Dia 12,Snaefellsnes
Snaefellsjokull,64.8057023,-23.7730967,Passeio,Dia 12,Vulcao-geleira
